Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
2010-02-05,0,6.0,5749.03,42.31,2.572,211.0963582,8.106
2010-02-12,1,6.0,9135.0,38.51,2.548,211.2421698,8.106
2010-02-19,0,6.0,6060.26,39.93,2.514,211.2891429,8.106
2010-02-26,0,6.0,5244.56,46.63,2.561,211.3196429,8.106
2010-03-05,0,6.0,4221.25,46.5,2.625,211.3501429,8.106
2010-03-12,0,6.0,5619.0,57.79,2.667,211.3806429,8.106
2010-03-19,0,6.0,4906.05,54.58,2.72,211.215635,8.106
2010-03-26,0,6.0,7468.33,51.45,2.732,211.0180424,8.106
2010-04-02,0,6.0,4132.61,62.27,2.719,210.8204499,7.808
2010-04-09,0,6.0,4428.8,65.86,2.77,210.6228574,7.808
2010-04-16,0,6.0,5020.78,66.32,2.808,210.4887,7.808
2010-04-23,0,6.0,3945.19,64.84,2.795,210.4391228,7.808
2010-04-30,0,6.0,4736.15,67.41,2.78,210.3895456,7.808
2010-05-07,0,6.0,7477.7,72.55,2.835,210.3399684,7.808
2010-05-14,0,6.0,6982.17,74.78,2.854,210.3374261,7.808
2010-05-21,0,6.0,3395.75,76.44,2.826,210.6170934,7.808
2010-05-28,0,6.0,6165.59,80.44,2.759,210.8967606,7.808
2010-06-04,0,6.0,5484.9,80.69,2.705,211.1764278,7.808
2010-06-11,0,6.0,4082.04,80.43,2.668,211.4560951,7.808
2010-06-18,0,6.0,3902.26,84.11,2.637,211.4537719,7.808
2010-06-25,0,6.0,4239.1,84.34,2.653,211.3386526,7.808
2010-07-02,0,6.0,4541.91,80.91,2.669,211.2235333,7.787
2010-07-09,0,6.0,4986.25,80.48,2.642,211.108414,7.787
2010-07-16,0,6.0,4772.7,83.15,2.623,211.1003854,7.787
2010-07-23,0,6.0,5758.04,83.36,2.608,211.2351443,7.787
2010-07-30,0,6.0,3932.95,81.84,2.64,211.3699032,7.787
2010-08-06,0,6.0,4700.38,87.16,2.627,211.5046621,7.787
2010-08-13,0,6.0,3885.01,87.0,2.692,211.6394211,7.787
2010-08-20,0,6.0,4067.35,86.65,2.664,211.6033633,7.787
2010-08-27,0,6.0,3389.29,85.22,2.619,211.5673056,7.787
2010-09-03,0,6.0,3553.75,81.21,2.577,211.5312479,7.787
2010-09-10,1,6.0,4432.69,78.69,2.565,211.4951902,7.787
2010-09-17,0,6.0,4492.88,82.11,2.582,211.5224596,7.787
2010-09-24,0,6.0,4601.39,80.94,2.624,211.5972246,7.787
2010-10-01,0,6.0,2876.19,71.89,2.603,211.6719895,7.838
2010-10-08,0,6.0,4168.36,63.93,2.633,211.7467544,7.838
2010-10-15,0,6.0,5024.04,67.18,2.72,211.8137436,7.838
2010-10-22,0,6.0,4291.27,69.86,2.725,211.8612937,7.838
2010-10-29,0,6.0,5424.27,69.64,2.716,211.9088438,7.838
2010-11-05,0,6.0,5036.99,58.74,2.689,211.9563939,7.838
2010-11-12,0,6.0,4248.34,59.61,2.728,212.003944,7.838
2010-11-19,0,6.0,3507.65,51.41,2.771,211.8896737,7.838
2010-11-26,1,6.0,20163.69,64.52,2.735,211.7484333,7.838
2010-12-03,0,6.0,6356.96,49.27,2.708,211.607193,7.838
2010-12-10,0,6.0,6440.06,46.33,2.843,211.4659526,7.838
2010-12-17,0,6.0,12078.11,49.84,2.869,211.4053124,7.838
2010-12-24,0,6.0,28497.52,52.33,2.886,211.4051222,7.838
2010-12-31,1,6.0,5878.25,48.43,2.943,211.4049321,7.838
2011-01-07,0,6.0,1376.15,48.27,2.976,211.4047419,7.742
2011-01-14,0,6.0,2355.86,35.4,2.983,211.4574109,7.742
2011-01-21,0,6.0,2163.84,44.04,3.016,211.8272343,7.742
2011-01-28,0,6.0,3200.68,43.83,3.01,212.1970577,7.742
2011-02-04,0,6.0,3324.96,42.27,2.989,212.5668812,7.742
2011-02-11,1,6.0,4542.8,36.39,3.022,212.9367046,7.742
2011-02-18,0,6.0,4033.43,57.36,3.045,213.2478853,7.742
2011-02-25,0,6.0,4203.87,62.9,3.065,213.535609,7.742
2011-03-04,0,6.0,3882.86,59.58,3.288,213.8233327,7.742
2011-03-11,0,6.0,3928.8,53.56,3.459,214.1110564,7.742
2011-03-18,0,6.0,2889.22,62.76,3.488,214.3627114,7.742
2011-03-25,0,6.0,4508.3,69.97,3.473,214.5999389,7.742
2011-04-01,0,6.0,3249.27,59.17,3.524,214.8371664,7.682
2011-04-08,0,6.0,3340.31,67.84,3.622,215.0743939,7.682
2011-04-15,0,6.0,3798.07,71.27,3.743,215.2918561,7.682
2011-04-22,0,6.0,2995.07,72.99,3.807,215.4599053,7.682
2011-04-29,0,6.0,4298.02,72.03,3.81,215.6279544,7.682
2011-05-06,0,6.0,7213.53,64.61,3.906,215.7960035,7.682
2011-05-13,0,6.0,4162.52,75.64,3.899,215.9640526,7.682
2011-05-20,0,6.0,4640.76,67.63,3.907,215.7339202,7.682
2011-05-27,0,6.0,5572.35,77.72,3.786,215.5037878,7.682
2011-06-03,0,6.0,4021.54,83.0,3.699,215.2736553,7.682
2011-06-10,0,6.0,3079.94,83.13,3.648,215.0435229,7.682
2011-06-17,0,6.0,3004.81,86.41,3.637,214.9980596,7.682
2011-06-24,0,6.0,3020.07,83.58,3.594,215.0910982,7.682
2011-07-01,0,6.0,4047.92,85.55,3.524,215.1841368,7.962
2011-07-08,0,6.0,3412.08,85.83,3.48,215.2771754,7.962
2011-07-15,0,6.0,3154.33,88.54,3.575,215.3611087,7.962
2011-07-22,0,6.0,3665.52,85.77,3.651,215.4222784,7.962
2011-07-29,0,6.0,2839.92,86.83,3.682,215.4834482,7.962
2011-08-05,0,6.0,2864.27,91.65,3.684,215.544618,7.962
2011-08-12,0,6.0,3124.83,90.76,3.638,215.6057878,7.962
2011-08-19,0,6.0,3717.28,89.94,3.554,215.6693107,7.962
2011-08-26,0,6.0,3296.22,87.96,3.523,215.7332258,7.962
2011-09-02,0,6.0,3461.79,87.83,3.533,215.7971409,7.962
2011-09-09,1,6.0,6147.43,76.0,3.546,215.861056,7.962
2011-09-16,0,6.0,3806.5,79.94,3.526,216.0410526,7.962
2011-09-23,0,6.0,4718.28,75.8,3.467,216.3758246,7.962
2011-09-30,0,6.0,3489.24,79.69,3.355,216.7105965,7.962
2011-10-07,0,6.0,4733.74,69.31,3.285,217.0453684,7.866
2011-10-14,0,6.0,4248.69,71.74,3.274,217.3552733,7.866
2011-10-21,0,6.0,5111.85,63.71,3.353,217.5159762,7.866
2011-10-28,0,6.0,6227.43,66.57,3.372,217.6766791,7.866
2011-11-04,0,6.0,6223.03,54.98,3.332,217.837382,7.866
2011-11-11,0,6.0,3527.62,59.11,3.297,217.9980849,7.866
2011-11-18,0,6.0,2640.98,62.25,3.308,218.2205088,7.866
2011-11-25,1,6.0,18629.83,60.14,3.236,218.4676211,7.866
2011-12-02,0,6.0,5240.63,48.91,3.172,218.7147333,7.866
2011-12-09,0,6.0,6714.41,43.93,3.158,218.9618456,7.866
2011-12-16,0,6.0,10022.4,51.63,3.159,219.1794533,7.866
2011-12-23,0,6.0,18931.11,47.96,3.112,219.3577216,7.866
2011-12-30,1,6.0,6629.6,44.55,3.129,219.5359898,7.866
2012-01-06,0,6.0,3665.25,49.01,3.157,219.7142581,7.348
2012-01-13,0,6.0,2460.92,48.53,3.261,219.8925263,7.348
2012-01-20,0,6.0,2427.46,54.11,3.268,219.9856893,7.348
2012-01-27,0,6.0,1649.4,54.26,3.29,220.0788523,7.348
2012-02-03,0,6.0,3981.09,56.55,3.36,220.1720153,7.348
2012-02-10,1,6.0,7338.85,48.02,3.409,220.2651783,7.348
2012-02-17,0,6.0,4223.42,45.32,3.51,220.4257586,7.348
2012-02-24,0,6.0,3784.06,57.25,3.555,220.636902,7.348
2012-03-02,0,6.0,6464.52,60.96,3.63,220.8480454,7.348
2012-03-09,0,6.0,4183.3,58.76,3.669,221.0591887,7.348
2012-03-16,0,6.0,3905.72,64.74,3.734,221.2118132,7.348
2012-03-23,0,6.0,2856.83,65.93,3.787,221.2864126,7.348
2012-03-30,0,6.0,4540.27,67.61,3.845,221.3610119,7.348
2012-04-06,0,6.0,4764.43,70.43,3.891,221.4356112,7.143
2012-04-13,0,6.0,4500.12,69.07,3.891,221.5102105,7.143
2012-04-20,0,6.0,2988.96,66.76,3.877,221.5640737,7.143
2012-04-27,0,6.0,3319.32,67.23,3.814,221.6179368,7.143
2012-05-04,0,6.0,4658.18,75.55,3.749,221.6718,7.143
2012-05-11,0,6.0,3574.83,73.77,3.688,221.7256632,7.143
2012-05-18,0,6.0,6030.81,70.33,3.63,221.742674,7.143
2012-05-25,0,6.0,5131.26,77.22,3.561,221.744944,7.143
2012-06-01,0,6.0,3249.75,77.95,3.501,221.7472139,7.143
2012-06-08,0,6.0,4888.46,78.3,3.452,221.7494839,7.143
2012-06-15,0,6.0,4087.58,79.35,3.393,221.7626421,7.143
2012-06-22,0,6.0,4870.31,78.39,3.346,221.8030211,7.143
2012-06-29,0,6.0,4774.5,84.88,3.286,221.8434,7.143
2012-07-06,0,6.0,2828.03,81.57,3.227,221.8837789,6.908
2012-07-13,0,6.0,2776.97,77.12,3.256,221.9241579,6.908
2012-07-20,0,6.0,3496.53,80.42,3.311,221.9327267,6.908
2012-07-27,0,6.0,2545.65,82.66,3.407,221.9412954,6.908
2012-08-03,0,6.0,3412.58,86.11,3.417,221.9498642,6.908
2012-08-10,0,6.0,-139.65,85.05,3.494,221.9584329,6.908
2012-08-17,0,6.0,2725.3,84.85,3.571,222.0384109,6.908
2012-08-24,0,6.0,2626.5,77.66,3.62,222.1719457,6.908
2012-08-31,0,6.0,2987.07,80.49,3.638,222.3054805,6.908
2012-09-07,1,6.0,2576.64,83.96,3.73,222.4390153,6.908
2012-09-14,0,6.0,3073.31,74.97,3.717,222.5820193,6.908
2012-09-21,0,6.0,4159.51,69.87,3.721,222.7818386,6.908
2012-09-28,0,6.0,3168.68,76.08,3.666,222.9816579,6.908
2012-10-05,0,6.0,3843.29,68.55,3.617,223.1814772,6.573
2012-10-12,0,6.0,3788.59,62.99,3.601,223.3812965,6.573
2012-10-19,0,6.0,3496.69,67.97,3.594,223.4257233,6.573
2012-10-26,0,6.0,4032.5,69.16,3.506,223.4442513,6.573
